Timestamp,UsedRAM_MB,TotalRAM_MB,CPU_Usage_Percent
19:54:36,1192,2762,3.7
19:54:38,1193,2762,9.7
19:54:39,1193,2762,12.2
19:54:41,1187,2762,22.4
19:54:42,1187,2762,11.8
19:54:43,1185,2762,3.2
19:54:45,1186,2762,2.7
19:54:46,1188,2762,7.2
19:54:48,1186,2762,3.3
19:54:49,1188,2762,9.6
19:54:50,1188,2762,6.9
19:54:51,1187,2762,3.6
19:54:53,1186,2762,3.5
19:54:54,1188,2762,6.6
19:54:55,1188,2762,4.6
19:54:57,1188,2762,3.3
19:54:59,1189,2762,11.6
19:55:00,1189,2762,8.5
19:55:01,1190,2762,8.8
19:55:03,1191,2762,8.3
19:55:04,1189,2762,8.3
19:55:05,1192,2762,20.5
19:55:06,1191,2762,13.0
19:55:08,1191,2762,3.0
19:55:09,1191,2762,24.1
19:55:10,1192,2762,11.2
19:55:11,1191,2762,6.4
19:55:12,1193,2762,12.2
19:55:13,1194,2762,7.2
19:55:14,1193,2762,8.1
19:55:16,1193,2762,7.3
19:55:17,1188,2762,35.7
19:55:18,1187,2762,4.2
19:55:19,1188,2762,6.9
19:55:20,1186,2762,8.7
19:55:22,1187,2762,3.0
19:55:23,1188,2762,9.0
19:55:24,1187,2762,9.5
19:55:25,1188,2762,9.7
19:55:26,1188,2762,5.6
19:55:27,1188,2762,3.6
19:55:28,1187,2762,3.8
19:55:29,1187,2762,1.9
19:55:30,1187,2762,4.4
19:55:31,1187,2762,5.5
19:55:33,1187,2762,3.5
19:55:34,1187,2762,11.0
19:55:35,1188,2762,7.7
19:55:36,1189,2762,9.4
19:55:37,1190,2762,7.7
19:55:38,1189,2762,4.4
19:55:39,1189,2762,4.2
19:55:40,1190,2762,3.7
19:55:42,1189,2762,3.9
19:55:43,1189,2762,8.3
19:55:44,1189,2762,1.7
19:55:45,1189,2762,3.8
19:55:46,1190,2762,4.3
19:55:47,1190,2762,4.3
19:55:48,1190,2762,4.9
19:55:49,1190,2762,2.9
19:55:50,1190,2762,4.2
19:55:51,1190,2762,4.0
19:55:52,1190,2762,4.0
19:55:54,1190,2762,4.1
19:55:55,1190,2762,4.5
19:55:56,1190,2762,2.7
19:55:57,1190,2762,5.9
19:55:58,1190,2762,4.7
19:55:59,1190,2762,4.2
19:56:00,1191,2762,3.4
19:56:01,1190,2762,3.9
19:56:02,1191,2762,5.4
19:56:03,1191,2762,3.8
19:56:05,1191,2762,5.2
19:56:06,1192,2762,8.5
19:56:07,1191,2762,5.1
19:56:08,1191,2762,1.6
19:56:09,1193,2762,19.3
19:56:10,1192,2762,17.9
19:56:11,1192,2762,3.7
19:56:12,1195,2762,20.8
19:56:13,1193,2762,10.0
19:56:14,1193,2762,4.4
19:56:16,1195,2762,14.5
19:56:17,1195,2762,10.7
19:56:18,1195,2762,3.6
19:56:19,1196,2762,12.5
19:56:20,1196,2762,18.0
19:56:21,1189,2762,17.1
19:56:22,1191,2762,11.5
19:56:23,1191,2762,11.8
19:56:24,1188,2762,6.4
19:56:25,1189,2762,7.0
19:56:27,1192,2762,11.4
19:56:28,1189,2762,4.8
19:56:29,1189,2762,5.0
19:56:30,1191,2762,13.8
19:56:31,1190,2762,11.7
19:56:32,1190,2762,6.2
19:56:33,1192,2762,10.3
19:56:34,1191,2762,10.8
19:56:35,1191,2762,4.4
19:56:37,1192,2762,14.2
19:56:38,1194,2762,14.7
19:56:39,1192,2762,7.8
19:56:40,1192,2762,9.4
19:56:41,1194,2762,9.6
19:56:42,1193,2762,9.8
19:56:43,1192,2762,6.0
19:56:44,1194,2762,15.3
19:56:45,1194,2762,8.8
19:56:46,1194,2762,3.6
19:56:47,1197,2762,15.2
19:56:48,1196,2762,4.1
19:56:50,1195,2762,8.8
19:56:51,1194,2762,1.6
19:56:52,1197,2762,12.8
19:56:53,1197,2762,4.4
19:56:54,1197,2762,5.7
19:56:55,1196,2762,7.3
19:56:56,1196,2762,3.9
19:56:57,1192,2762,23.4
19:56:58,1189,2762,7.7
19:56:59,1189,2762,2.6
19:57:00,1191,2762,16.5
19:57:02,1190,2762,5.6
19:57:03,1190,2762,7.6
19:57:04,1191,2762,9.1
19:57:05,1190,2762,8.8
19:57:06,1190,2762,7.2
19:57:08,1192,2762,12.7
19:57:09,1191,2762,9.7
19:57:10,1191,2762,13.2
19:57:11,1194,2762,16.2
19:57:13,1192,2762,5.7
19:57:14,1194,2762,14.5
19:57:15,1195,2762,9.9
19:57:16,1193,2762,4.7
19:57:17,1195,2762,13.9
19:57:18,1195,2762,14.9
19:57:20,1194,2762,8.0
